                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1393,                0.85748,                 1.1664,                0.93879,                0.90831,                0.96851,                0.74876,                0.83859,                0.53385,                0.98338,               0.006535,               0.006535,               0.006535
                     37,                 1.1331,                0.84128,                 1.1635,                0.93681,                0.90605,                0.96697,                0.74933,                 0.8353,                 0.5325,                0.98049,               0.006436,               0.006436,               0.006436
                     38,                 1.1285,                0.84102,                 1.1642,                0.93961,                0.90018,                0.96558,                0.74987,                0.83011,                0.53088,                0.97744,               0.006337,               0.006337,               0.006337
                     39,                 1.1279,                0.84272,                 1.1609,                0.93526,                0.90108,                 0.9659,                 0.7526,                0.82283,                0.52761,                0.97482,               0.006238,               0.006238,               0.006238
                     40,                 1.1265,                0.83401,                  1.162,                0.93899,                0.90377,                0.96745,                0.75547,                0.81644,                0.52296,                0.97143,               0.006139,               0.006139,               0.006139
                     41,                 1.1058,                0.81805,                 1.1487,                0.93775,                 0.9047,                0.96727,                0.75668,                 0.8121,                0.51901,                0.96901,                0.00604,                0.00604,                0.00604
                     42,                 1.1051,                0.81563,                 1.1455,                 0.9432,                0.90605,                0.96854,                0.75868,                0.81024,                0.51609,                0.96751,               0.005941,               0.005941,               0.005941
                     43,                 1.1048,                0.80541,                 1.1471,                0.94413,                0.90605,                0.97066,                0.76065,                0.80822,                0.51348,                0.96612,               0.005842,               0.005842,               0.005842
                     44,                 1.1015,                0.80024,                 1.1414,                0.93956,                0.91463,                0.97244,                0.76157,                0.80688,                0.51099,                 0.9646,               0.005743,               0.005743,               0.005743
                     45,                 1.0951,                0.79597,                 1.1399,                0.94089,                0.91463,                0.97213,                0.76389,                0.80403,                0.50831,                0.96325,               0.005644,               0.005644,               0.005644
                     46,                 1.0845,                0.78296,                 1.1345,                0.94034,                0.91836,                0.97194,                0.76363,                0.80316,                0.50663,                0.96248,               0.005545,               0.005545,               0.005545
                     47,                 1.0898,                0.78672,                  1.134,                0.93943,                0.92096,                0.97278,                0.76559,                0.80027,                0.50377,                0.96135,               0.005446,               0.005446,               0.005446
                     48,                  1.079,                0.78211,                 1.1327,                0.93783,                0.92141,                0.97259,                0.76646,                0.79865,                0.50096,                0.96003,               0.005347,               0.005347,               0.005347
                     49,                  1.073,                0.77327,                 1.1252,                0.94094,                0.92231,                0.97258,                0.76778,                0.79671,                0.49897,                0.95907,               0.005248,               0.005248,               0.005248
                     50,                 1.0645,                0.76305,                 1.1238,                0.94005,                0.92367,                0.97312,                0.76817,                0.79326,                0.49724,                0.95772,               0.005149,               0.005149,               0.005149
                     51,                 1.0563,                0.75238,                 1.1144,                0.94161,                0.92511,                0.97382,                0.76879,                0.79258,                0.49497,                0.95719,                0.00505,                0.00505,                0.00505
                     52,                 1.0614,                0.75549,                 1.1198,                0.94189,                0.92412,                0.97364,                0.77026,                0.79138,                0.49336,                0.95647,               0.004951,               0.004951,               0.004951
                     53,                 1.0531,                0.75038,                 1.1143,                 0.9445,                0.92276,                0.97383,                0.76937,                0.79056,                0.49164,                0.95589,               0.004852,               0.004852,               0.004852
                     54,                  1.042,                0.74142,                 1.1091,                0.94499,                0.92367,                0.97446,                0.77011,                0.78992,                0.49024,                0.95516,               0.004753,               0.004753,               0.004753
                     55,                 1.0435,                0.73318,                 1.1098,                0.94327,                0.92502,                0.97463,                0.77074,                0.78828,                0.48854,                0.95446,               0.004654,               0.004654,               0.004654
                     56,                 1.0279,                0.72049,                 1.1011,                0.94147,                0.92728,                0.97513,                 0.7706,                0.78709,                0.48759,                0.95372,               0.004555,               0.004555,               0.004555
                     57,                 1.0353,                0.72271,                 1.1044,                 0.9388,                0.92638,                0.97546,                0.77176,                0.78632,                 0.4863,                0.95338,               0.004456,               0.004456,               0.004456
                     58,                 1.0272,                0.71938,                 1.0966,                0.94274,                0.92683,                0.97573,                0.77178,                0.78509,                0.48569,                0.95245,               0.004357,               0.004357,               0.004357
                     59,                 1.0255,                0.71404,                 1.0973,                0.93519,                0.93225,                0.97583,                0.77258,                0.78406,                0.48391,                0.95164,               0.004258,               0.004258,               0.004258
                     60,                 1.0125,                0.70306,                 1.0905,                0.93778,                0.93267,                0.97619,                0.77374,                0.78339,                0.48232,                0.95103,               0.004159,               0.004159,               0.004159
                     61,                 1.0112,                0.70092,                 1.0885,                0.93905,                0.92909,                0.97638,                0.77472,                0.78296,                 0.4806,                0.95046,                0.00406,                0.00406,                0.00406
                     62,                 1.0101,                0.69492,                 1.0886,                 0.9414,                0.92885,                0.97673,                0.77562,                0.78181,                0.47881,                0.94978,               0.003961,               0.003961,               0.003961
                     63,                 1.0049,                0.69306,                 1.0886,                 0.9375,                0.93494,                0.97674,                0.77639,                0.78019,                0.47667,                0.94881,               0.003862,               0.003862,               0.003862
                     64,                0.99731,                0.68444,                 1.0825,                0.93768,                0.93792,                0.97684,                0.77601,                0.77934,                0.47518,                0.94806,               0.003763,               0.003763,               0.003763
                     65,                 0.9955,                0.68375,                 1.0828,                0.93818,                0.93909,                0.97698,                 0.7771,                0.77877,                0.47399,                0.94762,               0.003664,               0.003664,               0.003664
